sex,age,2022,2021
F,0,305338,296398
F,1,303388,308142
F,2,315749,314285
F,3,321181,320218
F,4,326533,328364
F,5,334656,338043
F,6,344109,335501
F,7,341529,338290
F,8,343828,346643
F,9,352226,357264
F,10,362616,357381
F,11,362254,353647
F,12,358184,350886
F,13,355184,354637
F,14,358932,340235
F,15,344242,333202
F,16,335891,331860
F,17,334977,329797
F,18,335147,325964
F,19,336676,332627
F,20,343094,338483
F,21,345015,344173
F,22,351093,358449
F,23,368667,366748
F,24,376855,378376
F,25,386721,373834
F,26,382143,384171
F,27,392647,398851
F,28,406724,403072
F,29,410039,418677
F,30,424733,426220
F,31,431684,428201
F,32,433276,427524
F,33,431857,434936
F,34,438849,426029
F,35,429645,420667
F,36,423976,418917
F,37,421911,405963
F,38,408445,406309
F,39,408875,403175
F,40,405295,408229
F,41,410160,408715
F,42,410314,390549
F,43,391882,362537
F,44,363467,355171
F,45,355976,362681
F,46,363161,370344
F,47,370812,375424
F,48,375547,390124
F,49,390047,405353
F,50,405088,422558
F,51,422021,411228
F,52,410575,420488
F,53,419685,419090
F,54,417887,420809
F,55,419456,420570
F,56,419356,421549
F,57,420060,415659
F,58,413965,405224
F,59,403570,395239
F,60,393399,378816
F,61,376969,363163
F,62,361307,353864
F,63,351809,343613
F,64,341301,330307
F,65,327909,316799
F,66,314411,305483
F,67,302886,306762
F,68,303831,300197
F,69,297203,292248
F,70,288846,292772
F,71,289080,297404
F,72,293324,302666
F,73,297987,319112
F,74,313693,342664
F,75,336093,261073
F,76,255276,251250
F,77,244999,246794
F,78,239972,226797
F,79,219584,200610
F,80,193311,176943
F,81,169545,179654
F,82,171318,173969
F,83,164909,164284
F,84,154639,151099
F,85,141058,137835
F,86,127516,124543
F,87,114132,109862
F,88,99220,97976
F,89,87206,88540
F,90,369918,364949
M,0,320197,311033
M,1,317871,322813
M,2,330222,330591
M,3,337439,335789
M,4,341983,344167
M,5,350107,354981
M,6,361030,351942
M,7,357610,354328
M,8,359961,364423
M,9,369858,374269
M,10,379372,376332
M,11,381120,371154
M,12,375729,368762
M,13,373214,371885
M,14,376381,358218
M,15,362564,351064
M,16,354748,351373
M,17,356312,350199
M,18,357159,345736
M,19,358651,344984
M,20,357687,348693
M,21,357939,354169
M,22,364322,363927
M,23,377493,365623
M,24,378724,373874
M,25,385032,367627
M,26,378825,372018
M,27,382330,382291
M,28,391371,383705
M,29,391548,396221
M,30,402991,403251
M,31,409078,402322
M,32,407098,399795
M,33,403884,403796
M,34,407427,394398
M,35,397965,394156
M,36,397246,393962
M,37,396083,381729
M,38,383742,382483
M,39,384141,382404
M,40,383590,386548
M,41,387273,389761
M,42,390435,375046
M,43,375307,350040
M,44,350140,344778
M,45,344735,352293
M,46,352299,360384
M,47,359990,364749
M,48,364288,379604
M,49,379005,394377
M,50,393368,407505
M,51,406429,397504
M,52,396172,406875
M,53,405329,405214
M,54,403537,408807
M,55,407079,405170
M,56,403317,406394
M,57,404247,400552
M,58,398209,390912
M,59,388601,381641
M,60,379197,368323
M,61,365564,352634
M,62,349848,342305
M,63,339208,332072
M,64,328812,316446
M,65,313025,303548
M,66,299863,289316
M,67,285497,287779
M,68,283684,281949
M,69,277531,270582
M,70,265865,270576
M,71,265403,271510
M,72,265729,276247
M,73,269908,288445
M,74,281121,309831
M,75,301103,232473
M,76,224998,221465
M,77,213321,216268
M,78,207611,194052
M,79,185322,167944
M,80,159449,144379
M,81,136146,144561
M,82,135260,137016
M,83,127436,126644
M,84,116521,113158
M,85,103287,99708
M,86,89880,87657
M,87,77914,73905
M,88,64470,63441
M,89,54480,54518
M,90,180917,174688